COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
PSYC 4540,T07 (64457),Readings in Autism Spectrum Disorders (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",Toby Martin
PSYC 4540,T42 (63588),Mind Wandering and Inattention (3),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Nicholaus Brosowsky
PSYC 4540,T49 (63585),Psychology of Misinformation and Science Denial (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Nicholas Evans
PSYC 4540,T09 (64458),Computational Psychology (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Randall Jamieson
PSYC 4540,T34 (64459),Skinner's Writings (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Toby Martin
PSYC 4600,T02 (64461),Developmental Social Cognition (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",Shaylene Nancekivell
PSYC 7024,A01 (51541),Psycho-educational Assessment and Measurement 2 (3),M,"Jan 06 - Apr 09, 14:30-17:15 (R)",Gabriel Schnerch
PSYC 7040,A01 (62229),"Teaching Strategies, Learning Styles, and Academic Remediation (3)",M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Janine Montgomery
PSYC 7050,A01 (50345),Junior Practicum in School Psychology (Part B) (1.5),M,Jan 06 - Apr 09,TBA
PSYC 7060,A01 (51211),Senior Practicum in School Psychology (Part B) (3),M,Jan 06 - Apr 09,TBA
PSYC 7070,A01 (59688),"Social, Emotional, and Personality Assessment of Children/Youth (3)",M,"Jan 06 - Apr 09, 11:30-14:15 (T)",Richard Kruk
PSYC 7082,A01 (64463),Intervening with Children and Social Systems (3),M,"Jan 06 - Apr 09, 08:30-11:15 (T)",Kristin Reynolds
PSYC 7130,A01 (50347),School Psychology Research Design and Program Evaluation (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Gabriel Schnerch
PSYC 7140,A01 (51760),Clinical Research Design (3),M,"Jan 06 - Apr 09, 11:30-14:15 (T)",Nicole Muir
PSYC 7150,A01 (64464),Readings in Autism Spectrum Disorders (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",Toby Martin
PSYC 7210,A01 (51350),Quantitative Methods in Psychology 2 (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Sunmee Kim
PSYC 7210,B01 (63905),Quantitative Methods in Psychology 2 (0),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Sunmee Kim
PSYC 7260,A01 (51349),Case Conceptualization and Communication 1 (Part B) (0),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Corey Mackenzie
PSYC 7270,A01 (51542),Case Conceptualization and Communication 2 (Part B) (0),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Corey Mackenzie
PSYC 7290,A01 (63597),Psychopathology and Diagnosis (3),M,"Jan 06 - Apr 09, 11:30-14:15 (R)",Nicole Muir
PSYC 7310,T36 (63587),Mind Wandering and Inattention (3),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Nicholaus Brosowsky
PSYC 7310,T43 (63586),Psychology of Misinformation and Science Denial (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Nicholas Evans
PSYC 7310,T42 (62494),Developmental Social Cognition (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",Shaylene Nancekivell
PSYC 7310,T01 (64465),Computational Psychology (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Randall Jamieson
PSYC 7420,A01 (64866),Multivariate Methods in Psychology (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Sunmee Kim
PSYC 7570,A01 (64467),Skinner's Writings (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Toby Martin
PSYC 7830,A01 (51870),Interventions II (3),M,"Jan 06 - Apr 09, 17:30-20:15 (W)",Gabriel Schnerch
PSYC 8050,A01 (64468),Human Brain Functions (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Steven Greening
PSYC 8080,A01 (51746),Case Conceptualization and Communication 3 (Part B) (1.5),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Corey Mackenzie
PSYC 8110,A01 (60869),Program Evaluation and Consultation (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Gabriel Schnerch
PSYC 8230,A01 (64469),Clinical Neuropsychology (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Lorna Jakobson
RLGN 1322,D01 (60926),Introduction to Eastern Religions (3),DE,Jan 06 - Apr 09,Trishia Goulet
RLGN 1324,A01 (60927),Introduction to Western Religions (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",TBA
RLGN 1440,A01 (61644),Evil in World Religions (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
RLGN 1450,A01 (63604),Religion and the Media (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Danielle Dubois
RLGN 2010,A01 (64550),Introduction to Hinduism (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Ian Whicher
RLGN 2020,A01 (60929),Introduction to Buddhism (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",David Drewes
RLGN 2060,A01 (63605),Religion and Violence (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Dawne McCance
RLGN 2110,A01 (64551),Religion and Healing (3),M,"Jan 06 - Apr 09, 17:00-19:45 (T)",Elizabeth Alexandrin
RLGN 2116,A01 (64552),Cognitive Science and Religion (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Kenneth Mackendrick
RLGN 2222,A01 (60605),The Supernatural in Popular Culture (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Trishia Goulet
RLGN 2610,A01 (63608),Animals and Ethics (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Dawne McCance
RLGN 2690,A01 (62198),Women and Religion 2 (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Trishia Goulet
RLGN 3152,A01 (62199),Buddhism in the West (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",David Drewes
RLGN 3210,A01 (64553),Indian Philosophy (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Ian Whicher
RLGN 3290,A01 (64554),Self-Transformation in Religion and Philosophy (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Danielle Dubois
SOC 1000,A06 (61163),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Karen Kampen
SOC 1000,A07 (61165),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Dennis Hiebert
SOC 1000,D01 (63187),Introduction to Sociology (3),DE,Jan 06 - Apr 09,TBA
SOC 1000,A05 (61162),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Karen Kampen
SOC 1000,A02 (61157),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Athena Engman
SOC 1000,A03 (61159),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Kaitlyn Kuryk
SOC 1000,A04 (61161),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",
SOC 1000,G07 (63736),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",TBA
SOC 1000,A01 (61155),Introduction to Sociology (3),M,"Jan 06 - Apr 09, 08:30-09:20 (MWF)",Athena Engman
SOC 2220,A01 (51066),Sociological Theoretical Foundations (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Charles Axelrod
SOC 2292,D01 (61874),Understanding Social Research (3),DE,Jan 06 - Apr 09,Abdul-Bari Abdul-Karim
SOC 2294,A01 (61177),Understanding Social Statistics (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Md Bhuiyan
SOC 2294,A03 (61178),Understanding Social Statistics (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Karen Kampen
SOC 2294,A02 (61175),Understanding Social Statistics (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Karen Kampen
SOC 2310,T04 (64301),Contemporary Social Issues in Canada (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Md Bhuiyan
SOC 2460,A01 (62134),The Family (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Valerie Hiebert
SOC 2510,A02 (52531),Criminology (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Jeremy Patzer
SOC 2510,D01 (50707),Criminology (3),DE,Jan 06 - Apr 09,David Bowman
SOC 2510,A01 (61180),Criminology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Joseph Asomah
SOC 2510,A03 (63191),Criminology (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Vicki Chartrand
SOC 2610,A03 (64303),Sociology of Criminal Justice and Corrections (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Leon Laidlaw
SOC 2610,A02 (51351),Sociology of Criminal Justice and Corrections (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Jeremy Patzer
SOC 2610,A01 (50628),Sociology of Criminal Justice and Corrections (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Edward Cormier
SOC 3100,A01 (63192),Practicum in Criminological/Sociological Research (Part B) (3),M,"Jan 06 - Apr 09, 14:30-15:45 (MW)",Edward Cormier
SOC 3310,A01 (64304),"Theorizing Crime, Law, and Social Justice (3)",M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Andrew Woolford
SOC 3330,A01 (64305),Origins of Sociological Thought (3),M,"Jan 06 - Apr 09, 19:00-21:45 (M)",Charles Axelrod
SOC 3390,A01 (64306),Contemporary Sociological Theory (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Athena Engman
SOC 3410,A01 (62137),Critical Victimology (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Emily Gerbrandt
SOC 3460,T09 (64307),African/Black Women in the Americas (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Delia Douglas
SOC 3540,A01 (64308),The Sociology of Health Care Systems (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",
SOC 3660,A01 (63195),Sociology of Mental Disorder (3),M,"Jan 06 - Apr 09, 16:30-17:20 (MWF)",
SOC 3720,A01 (63872),The Criminal Law and Its Procedure (3),M,"Jan 06 - Apr 09, 18:00-20:45 (T)",James Wood
SOC 3740,T13 (64309),Racial Justice (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Vicki Chartrand
SOC 3838,A01 (64310),Ecology and Society (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
SOC 3840,A01 (63198),Community and Social Reconstruction (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Valerie Hiebert
SOC 3880,A01 (64311),Global Criminology and Criminal Justice (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Joseph Asomah
SOC 3890,A01 (64312),Power and Inequality in Comparative Perspective (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Mara Fridell
SOC 4450,A01 (50589),Honours Seminar (Part B) (3),M,"Jan 06 - Apr 09, 14:30-17:15 (R)",Mara Fridell
SOC 4560,A01 (61193),Advanced Sociological Theory (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Athena Engman
SOC 4570,A01 (64313),Quantitative Social Analysis (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Zhenxiang Chen
SOC 7160,T02 (64314),Consumer Culture (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Sonia Bookman
SOC 7370,A01 (64315),Issues in Health Care Seminar (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",
SOC 7420,A01 (57102),Qualitative Research Methods for Sociological Inquiry (3),M,"Jan 06 - Apr 09, 11:30-14:15 (R)",Laura Funk
WOMN 1500,A02 (51543),Introduction to Women's and Gender Studies in the Humanities (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
WOMN 1500,A01 (51544),Introduction to Women's and Gender Studies in the Humanities (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Morgan Abbott
WOMN 1600,A02 (59827),Introduction to Women's and Gender Studies in the Social Sciences (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Morgan Abbott
WOMN 1600,D01 (51579),Introduction to Women's and Gender Studies in the Social Sciences (3),DE,Jan 06 - Apr 09,Lisa Bednar
WOMN 1600,A01 (51545),Introduction to Women's and Gender Studies in the Social Sciences (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Shawna Ferris
WOMN 2000,A01 (64321),Feminist Thought (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Elizabeth Millward
WOMN 2530,A01 (64322),Writing Women's Lives (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",Nancy Kang
WOMN 2600,A01 (64323),"Sex, Gender, Space and Place (3)",M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Elizabeth Millward
WOMN 2630,A01 (63530),Indigenous Feminisms (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",
WOMN 3000,A01 (64324),Interdisciplinary Research in Women's and Gender Studies (3),M,"Jan 06 - Apr 09, 11:30-14:15 (F)",Adele Perry
WOMN 3100,A01 (64325),Sex Work in Contemporary Canadian Culture (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",Shawna Ferris
WOMN 3500,T02 (64326),Feminisms and (Dis)abilities (3),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Christine Stewart
BIOL 1000,D01 (50700),Biology: Foundations of Life (3),DE,Jan 06 - Apr 09,Cole Robson-Hyska
BIOL 1000,A01 (51567),Biology: Foundations of Life (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",TBA
BIOL 1010,A01 (58957),Biology: Biological Diversity and Interaction (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",TBA
BIOL 1010,D01 (59720),Biology: Biological Diversity and Interaction (3),DE,Jan 06 - Apr 09,Michael Shaw
BIOL 1010,A04 (51459),Biology: Biological Diversity and Interaction (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
BIOL 1010,A04 (51459),Biology: Biological Diversity and Interaction (3),M,Jan 06 - Apr 09,TBA
BIOL 1010,G07 (64906),Biology: Biological Diversity and Interaction (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Emily McKinnon
BIOL 1030,B06 (50225),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 14:30-17:20 (R)",Cassandra Debets
BIOL 1030,B09 (50235),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 14:30-17:20 (F)",Cassandra Debets
BIOL 1030,B10 (50236),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 14:30-17:20 (W)",Cassandra Debets
BIOL 1030,A03 (50212),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 14:30-15:45 (MW)",Jennifer Doering
BIOL 1030,B08 (50234),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 08:30-11:20 (F)",Cassandra Debets
BIOL 1030,B07 (50232),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 19:00-21:50 (R)",Cassandra Debets
BIOL 1030,A02 (50210),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Mark Belmonte
BIOL 1030,B04 (50223),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 14:30-17:20 (W)",Cassandra Debets
BIOL 1030,B03 (50222),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 08:30-11:20 (W)",Cassandra Debets
BIOL 1030,B02 (50221),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 14:30-17:20 (T)",Cassandra Debets
BIOL 1030,B01 (50220),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 08:30-11:20 (T)",Cassandra Debets
BIOL 1030,A04 (61908),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 16:00-17:15 (MW)",TBA
BIOL 1030,A05 (50215),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Kevin Scott
BIOL 1030,B05 (50224),"Biology 2: Biological Diversity, Function and Interactions (0)",M,"Jan 06 - Apr 09, 08:30-11:20 (R)",Cassandra Debets
BIOL 1030,G07 (56364),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Emily McKinnon
BIOL 1030,A01 (50209),"Biology 2: Biological Diversity, Function and Interactions (3)",M,"Jan 06 - Apr 09, 08:30-09:20 (MWF)",Mark Belmonte
BIOL 1340,A01 (51516),The State of the Earth's Environment: Contemporary Issues (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Michael Shaw
BIOL 1412,B05 (51375),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (T)",Kristie Lester
BIOL 1412,B23 (51393),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (F)",Kristie Lester
BIOL 1412,B20 (51390),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (F)",Kristie Lester
BIOL 1412,B21 (51391),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (F)",Kristie Lester
BIOL 1412,B22 (51392),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (F)",Kristie Lester
BIOL 1412,B24 (51394),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (F)",Kristie Lester
BIOL 1412,B02 (51571),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (T)",Kristie Lester
BIOL 1412,B12 (51382),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Kristie Lester
BIOL 1412,B03 (51373),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (T)",Kristie Lester
BIOL 1412,B04 (51374),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (T)",Kristie Lester
BIOL 1412,B50 (63664),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Kristie Lester
BIOL 1412,B09 (51379),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (W)",Kristie Lester
BIOL 1412,B14 (51384),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (R)",Kristie Lester
BIOL 1412,B08 (51378),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (W)",Kristie Lester
BIOL 1412,B11 (51381),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Kristie Lester
BIOL 1412,B10 (51380),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (W)",Kristie Lester
BIOL 1412,B13 (51383),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (R)",Kristie Lester
BIOL 1412,B15 (51385),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (R)",Kristie Lester
BIOL 1412,B06 (51376),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (T)",Kristie Lester
BIOL 1412,B18 (51388),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (R)",Kristie Lester
BIOL 1412,B19 (51389),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (F)",Kristie Lester
BIOL 1412,B07 (51377),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (W)",Kristie Lester
BIOL 1412,B16 (51386),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 12:00-13:50 (R)",Kristie Lester
BIOL 1412,B17 (51387),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 14:30-16:20 (R)",Kristie Lester
BIOL 1412,A05 (51460),Physiology of the Human Body (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",TBA
BIOL 1412,A05 (51460),Physiology of the Human Body (3),M,Jan 06 - Apr 09,TBA
BIOL 1412,B01 (51372),Physiology of the Human Body (0),M,"Jan 06 - Apr 09, 09:00-10:50 (T)",Kristie Lester
BIOL 1412,A02 (51369),Physiology of the Human Body (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",TBA
BIOL 1412,A03 (51370),Physiology of the Human Body (3),M,"Jan 06 - Apr 09, 16:00-18:45 (W)",TBA
BIOL 1412,A01 (51368),Physiology of the Human Body (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Paul Messing
BIOL 1412,A04 (51371),Physiology of the Human Body (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Cole Robson-Hyska
BIOL 2210,B03 (51399),The Chordates (0),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",Joy Stacey
BIOL 2210,B02 (51398),The Chordates (0),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Joy Stacey
BIOL 2210,A01 (51396),The Chordates (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Margaret Docker
BIOL 2210,B01 (51397),The Chordates (0),M,"Jan 06 - Apr 09, 14:30-17:25 (T)",Joy Stacey
BIOL 2242,B03 (64187),The Flowering Plants (0),M,"Jan 06 - Apr 09, 18:00-20:55 (W)",Carla Zelmer
BIOL 2242,B02 (64186),The Flowering Plants (0),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Carla Zelmer
BIOL 2242,A01 (64184),The Flowering Plants (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Carla Zelmer
BIOL 2242,B01 (64185),The Flowering Plants (0),M,"Jan 06 - Apr 09, 14:30-17:25 (T)",Carla Zelmer
BIOL 2262,B01 (52363),Biology of Algae (0),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",TBA
BIOL 2262,A01 (51569),Biology of Algae (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",TBA
BIOL 2262,B02 (53739),Biology of Algae (0),M,"Jan 06 - Apr 09, 18:00-20:55 (R)",TBA
BIOL 2300,A01 (51359),Principles of Ecology (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Gail Davoren
BIOL 2300,B03 (58090),Principles of Ecology (0),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Cole Robson-Hyska
BIOL 2300,B01 (51360),Principles of Ecology (0),M,"Jan 06 - Apr 09, 14:30-17:25 (M)",Cole Robson-Hyska
BIOL 2300,B02 (51361),Principles of Ecology (0),M,"Jan 06 - Apr 09, 14:30-17:25 (T)",Cole Robson-Hyska
BIOL 2380,A01 (51357),Introductory Toxicology (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",TBA
BIOL 2390,A01 (64189),Introductory Ecology (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Paul Messing
BIOL 2420,A01 (51400),Human Physiology 2 (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Kevin Scott
BIOL 2420,D01 (53388),Human Physiology 2 (3),DE,Jan 06 - Apr 09,Kristie Lester
BIOL 2500,A01 (51362),Genetics 1 (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Jennifer Doering
BIOL 2500,B01 (51408),Genetics 1 (0),M,"Jan 06 - Apr 09, 10:00-11:15 (T)",TBA
BIOL 2500,B02 (51409),Genetics 1 (0),M,"Jan 06 - Apr 09, 10:00-11:15 (R)",TBA
BIOL 2520,A01 (51395),Cell Biology (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Jae-Hyeok Lee
BIOL 3300,B02 (56141),Evolutionary Biology (0),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Anne Worley
BIOL 3300,A01 (52133),Evolutionary Biology (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Anne Worley
BIOL 3300,B01 (52134),Evolutionary Biology (0),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Anne Worley
BIOL 3318,A01 (51401),Boreal Ecology (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",James Roth
BIOL 3452,A01 (63169),Environmental Plant Physiology (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Sylvie Renault
BIOL 3452,B01 (63100),Environmental Plant Physiology (0),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Sylvie Renault
BIOL 3472,B02 (51712),Environmental Physiology of Animals 2 (0),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",Kevin Scott
BIOL 3472,A01 (51710),Environmental Physiology of Animals 2 (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",William Fry
BIOL 3472,B01 (51711),Environmental Physiology of Animals 2 (0),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Kevin Scott
BIOL 3500,B03 (60844),Genetics 2 (0),M,"Jan 06 - Apr 09, 14:30-17:20 (F)",Sreeparna Vappala
BIOL 3500,B01 (51817),Genetics 2 (0),M,"Jan 06 - Apr 09, 14:30-17:20 (W)",Sreeparna Vappala
BIOL 3500,A01 (51411),Genetics 2 (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Sreeparna Vappala
BIOL 3500,B02 (51818),Genetics 2 (0),M,"Jan 06 - Apr 09, 14:30-17:20 (R)",Sreeparna Vappala
BIOL 3550,A01 (53173),Plant Anatomy (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Ashley Klymiuk
BIOL 3550,B01 (63238),Plant Anatomy (0),M,"Jan 06 - Apr 09, 14:30-17:15 (F)",Ashley Klymiuk
BIOL 4100,A01 (51405),Honours Thesis (Part B) (3),M,Jan 06 - Apr 09,Kevin Fraser
BIOL 4212,B01 (63251),Systematics and Biogeography of Fishes (0),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Margaret Docker
BIOL 4212,A01 (63250),Systematics and Biogeography of Fishes (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Margaret Docker
BIOL 4218,B01 (64183),Biology of Mammals (0),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Jane Waterman
BIOL 4218,A01 (64182),Biology of Mammals (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Jane Waterman
BIOL 4400,A01 (63252),Revegetation of Disturbed Lands (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Sylvie Renault
BIOL 4460,A01 (62815),Comparative Animal Energetics (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Jason Treberg
BIOL 4470,A01 (64188),Physiology of Excitable Cells (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",William Fry
BIOL 4500,A01 (63095),Molecular Genetics of Plant Development (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Jae-Hyeok Lee
BIOL 4510,B01 (61912),Evolutionary Genetics (0),M,"Jan 06 - Apr 09, 14:30-16:20 (M)",Colin Garroway
BIOL 4510,A01 (61911),Evolutionary Genetics (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Colin Garroway
BIOL 4544,B01 (61932),Advanced Developmental and Cellular Biology (0),M,"Jan 06 - Apr 09, 14:30-17:20 (W)",Steven Whyard
BIOL 4544,A01 (61931),Advanced Developmental and Cellular Biology (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Steven Whyard
BIOL 4650,A01 (62818),Biology and Society (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Joy Stacey
