COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ARTS 3030,K01 (60995),Arts Co-operative Option 3 (1),WKT,Jan 06 - Apr 09,Laura Basilious
ASIA 1420,A01 (53140),Asian Civilizations to 1500 (B) (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Adrian Thieret
ASIA 1430,A01 (50105),Asian Civilization from 1500 (B) (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Adrian Thieret
ASIA 1750,B01 (58663),Introduction to Korean (Part B) (0),M,"Jan 06 - Apr 09, 10:00-10:50 (T)",TBA
ASIA 1750,A02 (61297),Introduction to Korean (Part B) (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",TBA
ASIA 1750,B02 (61298),Introduction to Korean (Part B) (0),M,"Jan 06 - Apr 09, 10:00-10:50 (M)",TBA
ASIA 1750,A01 (51693),Introduction to Korean (Part B) (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
ASIA 1760,A02 (52817),Introduction to Chinese (Mandarin) (Part B) (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Shu Zhu
ASIA 1760,A01 (50632),Introduction to Chinese (Mandarin) (Part B) (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Shu Zhu
ASIA 1760,B02 (53134),Introduction to Chinese (Mandarin) (Part B) (0),M,"Jan 06 - Apr 09, 14:30-15:20 (R)",Shu Zhu
ASIA 1760,B01 (53133),Introduction to Chinese (Mandarin) (Part B) (0),M,"Jan 06 - Apr 09, 13:30-14:20 (R)",Shu Zhu
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Jan 14 - Jan 14, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Jan 29 - Jan 29, 14:30-15:20 (W)",TBA
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Apr 08 - Apr 08, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Feb 05 - Feb 05, 14:30-15:20 (W)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Feb 19 - Feb 19, 14:30-15:20 (W)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Jan 15 - Jan 15, 14:30-15:20 (W)",TBA
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Apr 01 - Apr 01, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Jan 22 - Jan 22, 14:30-15:20 (W)",TBA
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Mar 18 - Mar 18, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Mar 25 - Mar 25, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Feb 18 - Feb 18, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Feb 04 - Feb 11, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Mar 04 - Mar 04, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Jan 28 - Jan 28, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Feb 25 - Feb 25, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Mar 11 - Mar 11, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B02 (50634),Introduction to Japanese (Part B) (0),M,"Jan 21 - Jan 21, 15:30-16:20 (T)",Yuhko Kayama
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Mar 19 - Mar 19, 14:30-15:20 (W)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Apr 08 - Apr 08, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Mar 18 - Mar 18, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Jan 28 - Jan 28, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Mar 11 - Mar 11, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Mar 25 - Mar 25, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Apr 01 - Apr 01, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Feb 04 - Feb 04, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Mar 04 - Mar 04, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Feb 25 - Feb 25, 17:00-17:50 (T)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Mar 26 - Mar 26, 14:30-15:20 (W)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Feb 26 - Feb 26, 14:30-15:20 (W)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Mar 12 - Mar 12, 14:30-15:20 (W)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Mar 05 - Mar 05, 14:30-15:20 (W)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Jan 21 - Jan 21, 17:00-17:50 (T)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Feb 18 - Feb 18, 17:00-17:50 (T)",TBA
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Apr 09 - Apr 09, 14:30-15:20 (W)",TBA
ASIA 1770,B05 (57446),Introduction to Japanese (Part B) (0),M,"Jan 14 - Jan 14, 17:00-17:50 (T)",TBA
