COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR,
ANTH 1210,D01 (10789),Ancient Peoples and Places (3),DE,Sep 04 - Dec 09,Barbara Hewitt,
ANTH 1210,A03 (10558),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Sara Halwas,
ANTH 1210,A02 (10559),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",TBA,
ANTH 1210,A01 (10557),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Kent Fowler,
ANTH 1220,A02 (10560),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",TBA,
ANTH 1220,A03 (12446),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Warren Clarke,
ANTH 1220,D01 (12114),Socio-Cultural Anthropology (3),DE,Sep 04 - Dec 09,TBA,
ANTH 1220,A01 (11161),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Rumel Halder,
ANTH 2000,A01 (16745),"Culture, Society, and Power (3)",M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Anna Fournier,
ANTH 2000,D01 (22609),"Culture, Society, and Power (3)",DE,Sep 04 - Dec 09,Anna Fournier,
ANTH 2020,A01 (22610),Relatedness in a Globalizing World (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Warren Clarke,
ANTH 2100,A01 (12091),Introduction to Archaeology (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ANTH 2550,A01 (24717),Culture and the Individual (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Rumel Halder,
ANTH 2560,D01 (20438),Anthropology of Illness (3),DE,Sep 04 - Dec 09,Barbara Hewitt,
ANTH 2600,A01 (24718),Old World Prehistory (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",,
ANTH 2820,A01 (22612),Human Osteology (3),M,"Sep 04 - Dec 09, 14:30-17:15 (T)",Grace Holmes,
ANTH 2860,A01 (12374),Evolution and Human Diversity (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",Stacie Burke,
ANTH 3470,A01 (10568),History of Anthropology (3),M,"Sep 04 - Dec 09, 14:30-17:15 (M)",Fabiana Li,
ANTH 3550,A01 (24719),Canadian Subcultures (3),M,"Sep 04 - Dec 09, 11:30-14:15 (M)",Kathleen Buddle,
ANTH 3930,A01 (23875),Ethnographic Research Methods (3),M,"Sep 04 - Dec 09, 11:30-14:15 (W)",Kathleen Buddle,
ANTH 3990,A01 (24720),Faunal Analysis in Archaeology (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",,
ANTH 4080,A01 (24721),"Museums, Memory, and Witnessing (3)",M,"Sep 04 - Dec 09, 11:30-14:15 (T)",Lara Rosenoff Gauvin,
ANTH 4860,T01 (24722),Human Adaptability (3),M,"Sep 04 - Dec 09, 14:30-17:15 (W)",Stacie Burke,
ANTH 7000,A01 (12910),Professional Development in Anthropology (Part A) (0),M,"Sep 04 - Dec 09, 11:30-14:15 (F)",Fabiana Li,
ANTH 7080,A01 (24723),"Museums, Memory, and Witnessing (3)",M,"Sep 04 - Dec 09, 11:30-14:15 (T)",Lara Rosenoff Gauvin,
ANTH 7640,A01 (24725),Contemporary Anthropological Theory (3),M,"Sep 04 - Dec 09, 14:30-17:15 (R)",Fabiana Li,
ANTH 7720,A01 (25329),Seminar in Human Adaptability (3),M,"Sep 04 - Dec 09, 14:30-17:15 (W)",Stacie Burke,
ARTS 1110,B21 (22523),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,B20 (22522),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,D01 (22525),Introduction to University (3),DE,Sep 04 - Dec 09,TBA,
ARTS 1110,B22 (22524),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,B06 (22508),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,B07 (22509),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B04 (22506),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,B05 (22507),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,B10 (22512),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B11 (22513),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B08 (22510),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B09 (22511),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B03 (22505),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,A03 (18124),Introduction to University (3),M,"Sep 04 - Dec 09, 19:00-20:15 (T)",TBA,
ARTS 1110,A04 (18125),Introduction to University (3),M,"Sep 04 - Dec 09, 11:30-12:45 (R)",TBA,
ARTS 1110,A01 (24916),Introduction to University (3),M,"Sep 04 - Dec 09, 08:30-09:45 (T)",TBA,
ARTS 1110,A02 (18123),Introduction to University (3),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,B01 (22503),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,B02 (22504),Introduction to University (0),M,"Sep 04 - Dec 09, 08:30-09:45 (R)",TBA,
ARTS 1110,A05 (18126),Introduction to University (3),M,"Sep 04 - Dec 09, 11:30-12:45 (R)",TBA,
ARTS 1110,A06 (18127),Introduction to University (3),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B12 (22514),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (R)",TBA,
ARTS 1110,B16 (22518),Introduction to University (0),M,"Sep 04 - Dec 09, 11:30-12:45 (T)",TBA,
ARTS 1110,B19 (22521),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,B17 (22519),Introduction to University (0),M,"Sep 04 - Dec 09, 11:30-12:45 (T)",TBA,
ARTS 1110,B18 (22520),Introduction to University (0),M,"Sep 04 - Dec 09, 14:30-15:45 (T)",TBA,
ARTS 1110,B14 (22516),Introduction to University (0),M,"Sep 04 - Dec 09, 20:30-21:45 (T)",TBA,
ARTS 1110,B13 (22515),Introduction to University (0),M,"Sep 04 - Dec 09, 20:30-21:45 (T)",TBA,
ARTS 1110,B15 (22517),Introduction to University (0),M,"Sep 04 - Dec 09, 11:30-12:45 (T)",TBA,
ARTS 1160,A01 (13116),Leadership: An Interdisciplinary Approach (3),M,"Sep 04 - Dec 09, 19:00-21:45 (T)",TBA,
ARTS 3010,K01 (20387),Arts Co-operative Option 1 (1),WKT,Sep 04 - Dec 09,Laura Basilious,
ARTS 3020,K01 (20388),Arts Co-operative Option 2 (1),WKT,Sep 04 - Dec 09,Laura Basilious,
ARTS 3030,K01 (21444),Arts Co-operative Option 3 (1),WKT,Sep 04 - Dec 09,Laura Basilious,
ASIA 1420,A01 (24848),Asian Civilizations to 1500 (B) (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Adrian Thieret,
ASIA 1430,A01 (24851),Asian Civilization from 1500 (B) (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Jeong Kim,
ASIA 1750,A02 (21670),Introduction to Korean (Part A) (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",TBA,
ASIA 1750,B01 (18912),Introduction to Korean (Part A) (0),M,"Sep 04 - Dec 09, 10:00-10:50 (T)",TBA,
ASIA 1750,B02 (21671),Introduction to Korean (Part A) (0),M,"Sep 04 - Dec 09, 10:00-10:50 (M)",TBA,
ASIA 1750,A01 (11730),Introduction to Korean (Part A) (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",TBA,
ASIA 1760,B01 (13068),Introduction to Chinese (Mandarin) (Part A) (0),M,"Sep 04 - Dec 09, 13:30-14:20 (R)",Shu Zhu,
ASIA 1760,B02 (13067),Introduction to Chinese (Mandarin) (Part A) (0),M,"Sep 04 - Dec 09, 14:30-15:20 (R)",Shu Zhu,
ASIA 1760,A02 (12779),Introduction to Chinese (Mandarin) (Part A) (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",Shu Zhu,
ASIA 1760,A01 (10710),Introduction to Chinese (Mandarin) (Part A) (3),M,"Sep 04 - Dec 09, 09:30-10:20 (MWF)",Shu Zhu,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 10 - Sep 10, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 08 - Oct 08, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 01 - Oct 01, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 19 - Nov 19, 17:00-17:50 (T)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 13 - Nov 13, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 27 - Nov 27, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 30 - Oct 30, 14:30-15:20 (W)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 15 - Oct 15, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 24 - Sep 24, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 17 - Sep 17, 17:00-17:50 (T)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 18 - Sep 18, 14:30-15:20 (W)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 26 - Nov 26, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 29 - Oct 29, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Dec 03 - Dec 03, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 12 - Nov 12, 17:00-17:50 (T)",TBA,
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 22 - Oct 22, 17:00-17:50 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 08 - Oct 08, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 29 - Oct 29, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 01 - Oct 01, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 19 - Nov 19, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 22 - Oct 22, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 15 - Oct 15, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 17 - Sep 17, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 12 - Nov 12, 15:30-16:20 (T)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Dec 03 - Dec 03, 15:30-16:20 (T)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 11 - Sep 11, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 25 - Sep 25, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 09 - Oct 09, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 20 - Nov 20, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 23 - Oct 23, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 02 - Oct 02, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 16 - Oct 16, 14:30-15:20 (W)",TBA,
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Dec 04 - Dec 04, 14:30-15:20 (W)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 01 - Oct 01, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 26 - Nov 26, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 10 - Sep 10, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Dec 03 - Dec 03, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 08 - Oct 08, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 15 - Oct 15, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 29 - Oct 29, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 24 - Sep 24, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 17 - Sep 17, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 12 - Nov 12, 13:30-14:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 22 - Oct 22, 13:30-14:20 (T)",TBA,
ASIA 1770,A01 (10715),Introduction to Japanese (Part A) (3),M,"Sep 04 - Dec 09, 09:30-10:20 (MWF)",Adrian Thieret,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 26 - Nov 26, 15:30-16:20 (T)",TBA,
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 19 - Nov 19, 13:30-14:20 (T)",TBA,
ASIA 1770,A02 (10716),Introduction to Japanese (Part A) (3),M,"Sep 04 - Dec 09, 14:30-15:20 (MWF)",Adrian Thieret,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 24 - Sep 24, 15:30-16:20 (T)",TBA,
ASIA 1770,A05 (17643),Introduction to Japanese (Part A) (3),M,"Sep 04 - Dec 09, 18:00-19:15 (TR)",TBA,
ASIA 1770,A04 (10717),Introduction to Japanese (Part A) (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",TBA,
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 10 - Sep 10, 15:30-16:20 (T)",TBA,
ASIA 2620,A01 (18911),Japanese Civilization (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",TBA,
ASIA 2750,B01 (18913),Intermediate Korean (Part A) (0),M,"Sep 04 - Dec 09, 10:00-10:50 (R)",TBA,
ASIA 2750,A01 (16076),Intermediate Korean (Part A) (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",TBA,
ASIA 2760,A01 (10719),Intermediate Chinese (Mandarin) (Part A) (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",Shu Zhu,
ASIA 2760,B01 (18914),Intermediate Chinese (Mandarin) (Part A) (0),M,"Sep 04 - Dec 09, 14:30-15:20 (M)",Shu Zhu,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 08 - Oct 08, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 01 - Oct 01, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 10 - Sep 10, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Dec 03 - Dec 03, 14:30-15:20 (T)",TBA,
ASIA 2770,A01 (10722),Intermediate Japanese (Part A) (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 19 - Nov 19, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 22 - Oct 22, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 15 - Oct 15, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 26 - Nov 26, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 24 - Sep 24, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 12 - Nov 12, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 29 - Oct 29, 14:30-15:20 (T)",TBA,
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 17 - Sep 17, 14:30-15:20 (T)",TBA,
ASIA 3770,A01 (24709),Advanced Japanese (Part A) (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",TBA,
CDN 1000,D01 (22603),Introduction to Canada (3),DE,Sep 04 - Dec 09,TBA,
CATH 1190,A02 (11647),Introduction to Catholic Studies (3),M,"Sep 04 - Dec 09, 10:30-11:45 (TR)",Daniel MacLeod,
CATH 1190,D01 (20401),Introduction to Catholic Studies (3),DE,Sep 04 - Dec 09,TBA,
CATH 1190,A01 (10757),Introduction to Catholic Studies (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Meredith Bacola,
CATH 2000,T01 (24704),Leadership in the Catholic Tradition (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",TBA,
CATH 2200,A01 (24703),Catholicism and Human Sexuality (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",TBA,
CLAS 1270,D01 (10704),Introduction to Ancient Greek Culture (3),DE,Sep 04 - Dec 09,TBA,
CLAS 1270,A02 (18812),Introduction to Ancient Greek Culture (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
CLAS 1270,A01 (10013),Introduction to Ancient Greek Culture (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",Mark Lawall,
CLAS 1280,D01 (10706),Introduction to Ancient Roman Culture (3),DE,Sep 04 - Dec 09,TBA,
CLAS 1280,A01 (10014),Introduction to Ancient Roman Culture (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",James Chlup,
CLAS 1520,A01 (18813),Greek and Roman Mythology (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",Rory Egan,
CLAS 1520,D01 (18814),Greek and Roman Mythology (3),DE,Sep 04 - Dec 09,TBA,
CLAS 2160,A01 (24969),"Roman History: The Roman Republic, 753-30 BC (3)",M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Lea Stirling,
CLAS 2612,A01 (24970),Greek Literature in Translation (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",Christopher Sampson,
CLAS 3264,A01 (24971),Pompeii and Herculaneum (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",Lea Stirling,
CLAS 3650,A01 (24972),Religion in Ancient Greece (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",Mark Joyal,
CLAS 7000,A01 (20009),Proseminar in Classical Studies 1 (0),M,Sep 04 - Dec 09,James Chlup,
CLAS 7310,T05 (24973),Pompeii and Herculaneum (3),M,Sep 04 - Dec 09,Lea Stirling,
GRK 1010,A01 (10009),Introduction to the Reading of Ancient Greek 1 (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",Mark Joyal,
GRK 2700,A01 (16036),Intermediate Readings in Ancient Greek (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",Christopher Sampson,
GRK 3750,A01 (23575),Homer (3),M,Sep 04 - Dec 09,Christopher Sampson,
GRK 7100,T08 (23576),Homer (3),M,Sep 04 - Dec 09,Christopher Sampson,
LATN 1080,A02 (12736),Introduction to the Reading of Latin 1 (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Robert Nau,
LATN 2700,A01 (16038),Intermediate Readings in Latin (3),M,"Sep 04 - Dec 09, 15:30-16:20 (MWF)",Robert Nau,
LATN 3932,T06 (24974),Cupid and Psyche (3),M,Sep 04 - Dec 09,Robert Nau,
LATN 7200,T09 (24975),Cupid and Psyche (3),M,Sep 04 - Dec 09,Robert Nau,
ECON 1010,D01 (11789),Introduction to Microeconomic Principles (3),DE,Sep 04 - Dec 09,TBA,
ECON 1010,D02 (20130),Introduction to Microeconomic Principles (3),DE,Sep 04 - Dec 09,TBA,
ECON 1010,D03 (20508),Introduction to Microeconomic Principles (3),DE,Sep 04 - Dec 09,TBA,
ECON 1010,A03 (11712),Introduction to Microeconomic Principles (3),M,"Sep 04 - Dec 09, 09:30-10:20 (MWF)",Rosa Sanchez Garcia,
ECON 1010,A04 (11713),Introduction to Microeconomic Principles (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ECON 1010,A05 (11714),Introduction to Microeconomic Principles (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",TBA,
ECON 1010,A02 (11949),Introduction to Microeconomic Principles (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",TBA,
ECON 1010,A01 (11715),Introduction to Microeconomic Principles (3),M,"Sep 04 - Dec 09, 08:30-09:45 (TR)",TBA,
ECON 1020,D01 (14387),Introduction to Macroeconomic Principles (3),DE,Sep 04 - Dec 09,TBA,
ECON 1020,A03 (22309),Introduction to Macroeconomic Principles (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",Rosa Sanchez Garcia,
ECON 1020,A02 (11980),Introduction to Macroeconomic Principles (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",TBA,
ECON 1020,A01 (12448),Introduction to Macroeconomic Principles (3),M,"Sep 04 - Dec 09, 08:30-09:20 (MWF)",Mehmet Oguzoglu,
ECON 1020,D02 (20509),Introduction to Macroeconomic Principles (3),DE,Sep 04 - Dec 09,TBA,
ECON 1210,A01 (15845),Introduction to Canadian Economic Issues and Policies (3),M,"Sep 04 - Dec 09, 14:30-15:20 (MWF)",TBA,
ECON 2010,A02 (12942),Microeconomic Theory 1 (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Laura Brown,
ECON 2010,A03 (24038),Microeconomic Theory 1 (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",TBA,
ECON 2010,D01 (13269),Microeconomic Theory 1 (3),DE,Sep 04 - Dec 09,TBA,
ECON 2010,A01 (12941),Microeconomic Theory 1 (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Laura Brown,
ECON 2020,A02 (15846),Macroeconomic Theory 1 (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",Ryan Compton,
ECON 2020,D01 (13270),Macroeconomic Theory 1 (3),DE,Sep 04 - Dec 09,TBA,
ECON 2020,A01 (12944),Macroeconomic Theory 1 (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",Ryan Compton,
ECON 2030,A01 (12945),Mathematical Economics 1 (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ECON 2030,A02 (20132),Mathematical Economics 1 (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",Edward Honda,
ECON 2040,A02 (12947),Quantitative Methods in Economics (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Janelle Mann,
ECON 2040,A01 (22312),Quantitative Methods in Economics (3),M,"Sep 04 - Dec 09, 08:30-09:45 (TR)",Janelle Mann,
ECON 2040,D01 (16258),Quantitative Methods in Economics (3),DE,Sep 04 - Dec 09,TBA,
ECON 2040,D02 (22069),Quantitative Methods in Economics (3),DE,Sep 04 - Dec 09,TBA,
ECON 2050,A01 (24811),Economic Analytics Using Computer-based Methods (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",TBA,
ECON 2350,A01 (22313),Community Economic Development (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Rosa Sanchez Garcia,
ECON 2362,A01 (22314),Economics of Gender (3),M,"Sep 04 - Dec 09, 14:30-15:20 (MWF)",TBA,
ECON 2390,A01 (22315),Introduction to Environmental Economics (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Elizabeth Troutt,
ECON 2390,A02 (24039),Introduction to Environmental Economics (3),M,"Sep 04 - Dec 09, 16:00-17:15 (TR)",Elizabeth Troutt,
ECON 2540,A01 (10427),Political Economy 1: Production and Distribution (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Anamary Maqueira Linares,
ECON 2540,A02 (20587),Political Economy 1: Production and Distribution (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Anamary Maqueira Linares,
ECON 2610,T01 (25387),The Political Economy of Colonialism & Imperialism (3),M,"Sep 04 - Dec 09, 15:30-16:20 (MWF)",Jonathan Jenner,
ECON 2610,T06 (22327),Crime Economics (3),M,"Sep 04 - Dec 09, 09:30-10:20 (MWF)",Edgar Villa Perez,
ECON 3010,A01 (12950),Microeconomic Theory 2 (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Safoura Moeeni,
ECON 3010,A02 (17286),Microeconomic Theory 2 (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Edward Honda,
ECON 3020,A01 (12951),Macroeconomic Theory 2 (3),M,"Sep 04 - Dec 09, 13:00-14:15 (TR)",Federico Guzman,
ECON 3040,A01 (12952),Introduction to Econometrics (3),M,"Sep 04 - Dec 09, 16:00-17:15 (TR)",Ryan Godwin,
ECON 3362,A01 (21410),Labour Economics 1 (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",Edgar Villa Perez,
ECON 3392,A01 (20135),An Introduction to Development Economics (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Jonathan Jenner,
ECON 3392,A02 (21411),An Introduction to Development Economics (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Rosa Sanchez Garcia,
ECON 3680,A01 (24841),International Finance (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ECON 3692,A01 (12954),Economic Determinants of Health (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Robert Chernomas,
ECON 3810,A01 (11172),Alternative Approaches to Macroeconomic Analysis (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",Robert Chernomas,
ECON 4020,T04 (24842),Topics in Advanced Macroeconomic Theory (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Kristin Shaw,
